item_id,real_value,is_anomaly
x,17.037791973381022,False
x,16.901214798358943,False
x,16.88865830772496,False
x,16.86501583385589,False
x,16.850975348196503,False
x,16.723934815391633,False
x,16.57522211502909,False
x,16.74441922605739,False
x,16.481062679632263,False
x,16.327176740027195,False
x,16.5133849530692,False
x,16.512287514309936,False
x,16.361875551061203,False
x,16.204912963661705,False
x,16.218005798889276,False
x,16.35272582121909,False
x,16.541505496995132,False
x,16.535412072223632,False
x,16.704386303562323,False
x,16.916016066278193,False
x,16.77391635364643,False
x,16.62289495444195,False
x,16.847596007793864,False
x,16.818915259974638,False
x,16.866812804135474,False
x,16.907923980020083,False
x,16.78359592909379,False
x,16.8150727553678,False
x,16.858671174219577,False
x,17.04701608548026,False
x,16.902120071825614,False
x,16.89371959521607,False
x,16.946821226557294,False
x,17.11728052124824,False
x,17.118852831293452,False
x,17.114796572288867,False
x,17.261083547505503,False
x,17.12379019286966,False
x,17.123775903998006,False
x,17.313486671139646,False
x,17.17743916366833,False
x,17.042026865538077,False
x,17.201770040653,False
x,17.128581994912206,False
x,16.965661660251477,False
x,16.942947784985346,False
x,17.14021162297438,False
x,17.1969420045247,False
x,17.220943747811557,False
x,17.250373659836118,False
x,17.495135265175048,False
x,17.502966323572192,False
x,17.297261279012364,False
x,17.488881724916524,False
x,17.48218278138773,False
x,17.481745212514383,False
x,17.67045006089713,False
x,17.63895640847519,False
x,17.495476729145295,False
x,17.47732073685463,False
x,17.549935091075614,False
x,17.57509703732432,False
x,17.572217362293323,False
x,17.789012974990985,False
x,17.787769264480165,False
x,17.644208703904805,False
x,17.640215387157284,False
x,17.738566269419156,False
x,17.66800221248265,False
x,17.65404630269909,False
x,17.940328119566292,False
x,17.941664240349855,False
x,17.70976943008195,False
x,17.72797251778136,False
x,17.75153927398476,False
x,17.686050036679493,False
x,17.721532599000685,False
x,18.02330595647472,False
x,17.835528059691015,False
x,17.71143192471896,False
x,17.955874723519646,False
x,17.78335881061034,False
x,17.810624292431676,False
x,17.78726893140422,False
x,17.847286020516353,False
x,17.863438677390427,False
x,17.721825097990184,False
x,17.97694048204765,False
x,17.94329931459765,False
x,17.801511286325113,False
x,17.79477179088954,False
x,18.074236836678836,False
x,18.048425792839986,False
x,18.1331068988603,False
x,18.35536513383667,False
x,18.14229255119284,False
x,17.963530976935544,False
x,18.211491197384568,False
x,18.38736748789489,False
x,18.18551171401197,False
x,18.23187398345847,False
x,18.394640300997967,False
x,18.154562863771197,False
x,18.16917784219553,False
x,18.395909473298772,False
x,18.34853505318673,False
x,18.630482712526828,False
x,18.61270379510149,False
x,18.639473306181536,False
x,18.61459255246314,False
x,18.594128484521203,False
x,18.595692960169497,False
x,18.594607540087328,False
x,18.453622492985325,False
x,18.415283892364748,False
