2.72,5.19,25.2,16.46,76.1
2.71,5.2,25.2,16.44,75.7
2.72,5.16,25.2,16.48,76.5
2.72,5.18,25.2,16.46,76.2
2.71,5.19,25.2,16.43,76.0
2.73,5.16,25.2,16.46,76.5
2.72,5.19,25.2,16.46,76.1
2.71,5.2,25.2,16.44,75.7
2.72,5.16,25.2,16.48,76.5
2.72,5.18,25.2,16.46,76.2
2.71,5.19,25.2,16.43,76.0
2.73,5.16,25.2,16.46,76.5
2.72,5.22,25.2,16.45,75.9
2.72,5.22,25.2,16.44,75.8
2.73,5.2,25.2,16.43,76.3
2.71,5.25,25.2,16.42,75.2
2.72,5.2,25.2,16.49,76.1
2.71,5.24,25.2,16.48,75.5
2.71,5.26,25.2,16.44,75.1
2.73,5.22,25.3,16.46,76.2
2.71,5.27,25.3,16.45,75.0
2.72,5.22,25.3,16.49,76.2
2.71,5.25,25.3,16.44,75.4
2.73,5.23,25.3,16.5,75.9
2.71,5.28,25.3,16.4,74.9
2.74,5.22,25.3,16.48,76.3
2.7,5.28,25.3,16.4,75.1
2.72,5.28,25.3,16.48,75.7
2.72,5.24,25.3,16.41,75.9
2.72,5.27,25.3,16.43,75.6
2.72,5.22,25.2,16.48,75.8
2.72,5.24,25.2,16.46,75.5
2.72,5.2,25.2,16.47,76.0
2.73,5.18,25.2,16.47,76.4
2.72,5.2,25.2,16.47,75.9
2.72,5.19,25.2,16.48,75.9
2.73,5.24,25.3,16.44,75.9
2.72,5.19,25.2,16.42,75.9
2.73,5.2,25.2,16.42,75.9
2.72,5.2,25.2,16.48,76.0
2.72,5.16,25.1,16.48,76.2
2.73,5.18,25.2,16.46,75.9
2.72,5.18,25.2,16.44,76.0
2.72,5.18,25.2,16.48,75.9
2.73,5.15,25.1,16.48,76.5
2.7,5.22,25.2,16.47,75.3
2.73,5.16,25.2,16.48,76.2
2.72,5.2,25.2,16.46,76.1
2.72,5.19,25.2,16.44,76.0
2.73,5.17,25.2,16.5,76.2
2.72,5.24,25.2,16.41,75.5
2.72,5.19,25.2,16.47,76.3
2.73,5.23,25.3,16.46,76.2
2.72,5.21,25.2,16.43,76.0
2.72,5.18,25.2,16.46,76.2
2.71,5.21,25.2,16.45,75.9
2.72,5.19,25.2,16.47,76.0
2.72,5.23,25.2,16.45,75.7
2.72,5.2,25.2,16.43,76.2
2.73,5.18,25.2,16.49,76.3
2.72,5.19,25.2,16.43,76.4
2.72,5.21,25.2,16.47,75.9
2.71,5.2,25.2,16.45,76.0
2.73,5.22,25.2,16.47,76.3
2.7,5.22,25.2,16.47,75.7
2.73,5.2,25.2,16.47,76.3
2.71,5.25,25.3,16.43,75.3
